,adjclose,EMA12,EMA26
-50,0.4891999742426213,0.7266339357716707,0.8361212724077939
-49,0.4807205143848335,0.7043718952287938,0.8166521416757303
-48,0.48891422183646127,0.6726927255088974,0.788884988624255
-47,0.5682824194181919,0.6991515856399584,0.7969706049981581
-46,0.6278577762312944,0.7053423173286129,0.7888350841549391
-45,0.6674385589258465,0.721820315643839,0.7915124914824035
-44,0.7202997690167656,0.7480141611925681,0.7988459630453751
-43,0.713297142193427,0.7376311467370121,0.7798757334091542
-42,0.7160456210961251,0.7125550619767873,0.7433241364651869
-41,0.6228976219086177,0.7156482134523261,0.7325571346539319
-40,0.3824639674293119,0.7042786723160226,0.7288625357228891
-39,0.1892616467734901,0.6487884078284755,0.7022650614332961
-38,-0.01878331972411228,0.5346172075517546,0.6520038962462067
-37,-0.1751391169466522,0.3660262445390722,0.5733693630542036
-36,-0.22170044950302312,0.3031092502427067,0.5058677778219755
-35,-0.25857327853894946,0.23931454707621228,0.4336918222826277
-34,-0.34744463058396946,0.09099233886424074,0.3561922362999097
-33,-0.4616725735647954,-0.08321180745459453,0.2513705759575543
-32,-0.5031500575243656,-0.18506654975997053,0.1764731975653051
-31,-0.5603603154449031,-0.2765283461639792,0.08590224320072844
-30,-0.6227547528046906,-0.37238061555193763,-0.007611770418619605
-29,-0.6618425881775735,-0.41415924171375074,-0.04950207090110624
-28,-0.7010445315053282,-0.46855056068892104,-0.11130076631115286
-27,-0.7187596132936307,-0.5469110653914888,-0.2223039607007977
-26,-0.7629815000553108,-0.6134082971125614,-0.313242486929714
-25,-0.7842725884741132,-0.6488934104039321,-0.3769076941202544
-24,-0.7704078425919025,-0.6793712598618431,-0.45542149552001987
-23,-0.8132669876220728,-0.7349346488384484,-0.5585713875487243
-22,-0.8147667884386001,-0.7611309240887129,-0.600788086970316
-21,-0.822877039051093,-0.7884324072956743,-0.6423292236416693
-20,-0.8209481997839501,-0.8127912172687439,-0.7099268885701138
-19,-0.8374296625028339,-0.8374254291573173,-0.7545084418037306
-18,-0.8519087918949235,-0.8450180300513351,-0.7724463207703294
-17,-0.840789808977291,-0.8438600079548078,-0.7879203867293542
-16,-0.8358416412635387,-0.847000710379857,-0.8112625165481555
-15,-0.8336725100980321,-0.8531385140939033,-0.8275274611344584
-14,-0.8298103795820677,-0.8541073959517177,-0.8378014226449593
-13,-0.8213636827560696,-0.8522470501773303,-0.8438114273567395
-12,-0.8376749863507249,-0.8625319379942195,-0.8546189353990046
-11,-0.8523836802784155,-0.8678841458728167,-0.8570274278099264
-10,-0.8437263400106263,-0.8677274406813248,-0.8599608407851468
-9,-0.8317632524007847,-0.8730781683996753,-0.8724404933296435
-8,-0.8043316054629619,-0.8583990279664465,-0.8625491346084294
-7,-0.7781425955578877,-0.8396823666006571,-0.8472063889691201
-6,-0.7438037996028124,-0.8303728021520399,-0.8399541728956916
-5,-0.7411502620589849,-0.8346170492506141,-0.8459163689492973
-4,-0.7362041161621278,-0.8419216169629696,-0.8560358076417317
-3,-0.7108185636813772,-0.8318410683621286,-0.8518565460545936
-2,-0.6761633165543971,-0.812375212091548,-0.8401596310482892
-1,-0.6325435912832339,-0.7758490059332189,-0.8061115971896335
0,-0.5902893461203856,-0.7417638573947192,-0.7756888676142794
1,-0.5491844343305617,-0.7122693226144977,-0.7548534188901002
2,-0.5187467291995114,-0.6875678752421338,-0.7373005924830339
3,-0.48510315861762204,-0.6657396437372339,-0.719899240581337
4,-0.44081837687811964,-0.6286869288554251,-0.6914186892968108
5,-0.37002659016530914,-0.5688120002966306,-0.6416681144665358
6,-0.31569118662025136,-0.5136003333534932,-0.5900664700001967
7,-0.24655941312051144,-0.4559189172472574,-0.5365279420485917
8,-0.18217382559241294,-0.3918585564901579,-0.4777133212600441
9,-0.15937780779012423,-0.35909559495283594,-0.44541102635997754
10,-0.13704134233505066,-0.32801300593588484,-0.41400149126943925
11,-0.06544050762645108,-0.25145509976997515,-0.3427618948138333
12,0.027947136028032234,-0.13590420665025962,-0.2287266916280119
13,0.06957627927466,-0.0665295327547534,-0.15091606852215744
14,0.14061275403306794,0.03076050440109624,-0.04335170401491575
15,0.20705548427943019,0.13310304015570526,0.06698904309457153
16,0.2742651727763311,0.21726285276646828,0.16120367826083304
17,0.28797589813103863,0.2657570271804697,0.22202097329159515
18,0.33505090730958115,0.343809448602478,0.3177540360174999
19,0.35968904370645777,0.406786308050877,0.4011080418923196
20,0.33958676487253314,0.4126198863168602,0.4234892731161909
21,0.3424910209903196,0.44241875307819606,0.471917376188393
22,0.3809789893702605,0.4774430557774567,0.511641991785449
23,0.3547726727139159,0.44411903728786645,0.48143215078110246
24,0.3068172922757136,0.4003896969581593,0.4455102512790354
25,0.321726694110826,0.41321914556653094,0.4640973347580012
26,0.30521583582965733,0.4124320985184411,0.46550135648856217
27,0.2550036371294789,0.3638468090522819,0.42484140040537244
28,0.17198973063730752,0.3132608027191054,0.38485890943950574
29,0.14990250023939586,0.30690664864345,0.3842823375742714
30,0.08626665118255357,0.2653162820241982,0.3406104049888073
31,0.01742628782024843,0.20323767504327805,0.2796371055036015
32,-0.014925967105733602,0.1870005718979142,0.26766048996247344
33,-0.056142234278172165,0.1728931591650854,0.25690591068789886
34,-0.16655948408523674,0.07992185053026887,0.17195356199768558
35,-0.303463384847459,-0.03704646281516773,0.06384676457531965
36,-0.37092542706398585,-0.0988656801089894,0.006485239228069031
37,-0.4400855000021812,-0.16885974951480537,-0.0658390070896738
38,-0.4882873645868716,-0.24649331152339626,-0.14731029329217304
39,-0.5288616216591305,-0.2820284635436521,-0.18144634844978696
40,-0.49644156978670656,-0.2790295336731444,-0.17482317466152753
41,-0.5629734629400892,-0.38455758568729576,-0.27990530808306546
42,-0.6311099670398679,-0.4860845646930206,-0.38119123703282004
43,-0.63253425355516,-0.5130363346894649,-0.4071520465485907
44,-0.5966778195737749,-0.5258715276662023,-0.4332925956037571
45,-0.5516985920539926,-0.5406430351773757,-0.46612404074051467
46,-0.5812163675721849,-0.5806177867757175,-0.5157147246819241
47,-0.5869914357918061,-0.6063785180696166,-0.5477706591967962
48,-0.6028014748578592,-0.6744259419424055,-0.6348504965149026
49,-0.6335749373402488,-0.7428607824447652,-0.7188697253160751
